Population;Cycle;Group;Hatch_Date;Data_Date;Age_Days;Indv_Weight;Mean_Length;Length StdDev;Length CoeffVar;Min Length;Max Length;Mean_Width;Width StdDev;Width CoeffVar;Min Width;Max Width;Mean_Area;Area StdDev;Area CoeffVar;Mean_L/W Ratio;L/W Ratio StdDev;L/W Ratio CoeffVar;Min L/W Ratio;Max L/W Ratio;Mean_Circularity;Min Circularity;Max Circularity;Greyness_I-Mean;Instar;Note;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-01-31;8;0.0239;9;;;;;2;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-01-31;8;0.0277;9.5;;;;;2.3;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-01-31;8;0.0281;9.2;;;;;2.5;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-01-31;8;0.0287;9.8;;;;;2.6;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-01-31;8;0.0276;9;;;;;2.1;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-01-31;8;0.0234;8.9;;;;;2;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-01-31;8;0.0232;8.6;;;;;1.9;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-01-31;8;0.0231;8.4;;;;;2;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-01-31;8;0.0246;9.4;;;;;2;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-01-31;8;0.0246;9.6;;;;;2;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-01;9;0.0453;14;;;;;3;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-01;9;0.0461;15;;;;;3;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-01;9;0.0563;14.5;;;;;3.5;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-01;9;0.0415;13;;;;;3;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-01;9;0.0431;12;;;;;2.8;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-01;9;0.0412;11.5;;;;;3;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-01;9;0.0845;16.3;;;;;4.2;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-01;9;0.0747;15.2;;;;;4;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-01;9;0.069;14;;;;;4.8;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-01;9;0.068;15;;;;;3.9;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-01;9;0.069;14;;;;;4.8;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-01;9;0.0632;13;;;;;3.5;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-01;9;0.0812;14.5;;;;;4.5;;;;;;;;;;;;;;;;;;Feed with oatmeal 236.4g (470 ml) in 200ml of water;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-06;14;0.114;18.5;;;;;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-06;14;0.117;18;;;;;4.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-06;14;0.101;16.5;;;;;4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-06;14;0.114;18.2;;;;;4.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-06;14;0.109;17.9;;;;;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-06;14;0.113;18.4;;;;;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-06;14;0.115;19;;;;;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-06;14;0.145;21;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-06;14;0.127;20;;;;;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-09;17;0.154;18.5;;;;;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-09;17;0.166;19;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P1;2023-01-23;2023-02-09;17;0.159;18.9;;;;;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-09;17;0.163;21;;;;;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-09;17;0.158;19.2;;;;;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P2;2023-01-23;2023-02-09;17;0.163;20;;;;;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-09;17;0.23;24;;;;;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AAP;C1;P3;2023-01-23;2023-02-09;17;0.234;23;;;;;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
